order_number,product_key,customer_key,order_date,shipping_date,due_date,sales_amount,quantity,price
SO43728,,12204.0,2011-01-06,2011-01-13,2011-01-18,3578.0,1.0,3578.0
SO43729,,,2011-01-06,2011-01-13,2011-01-18,3400.0,1.0,3400.0
SO43730,,10399.0,2011-01-06,2011-01-13,2011-01-18,3400.0,1.0,3400.0
SO43731,,1167.0,2011-01-06,2011-01-13,2011-01-18,3578.0,1.0,3578.0
SO43732,,26.0,2011-01-06,2011-01-13,2011-01-18,3375.0,1.0,3375.0
SO43733,,12115.0,2011-01-06,2011-01-13,2011-01-18,3578.0,1.0,3578.0
SO43734,,12142.0,2011-01-07,2011-01-14,2011-01-19,3578.0,1.0,3578.0
SO43735,,1060.0,2011-01-07,2011-01-14,2011-01-19,3578.0,1.0,3578.0
SO43736,,3.0,2011-01-07,2011-01-14,2011-01-19,3400.0,1.0,3400.0
SO43737,,,2011-01-08,2011-01-15,2011-01-20,3578.0,1.0,3578.0
SO43738,,,2011-01-08,2011-01-15,2011-01-20,3578.0,1.0,3578.0
SO43739,,,2011-01-08,2011-01-15,2011-01-20,3578.0,1.0,3578.0
SO43740,,1065.0,2011-01-08,2011-01-15,2011-01-20,3578.0,1.0,3578.0
SO43741,,12209.0,2011-01-09,2011-01-16,2011-01-21,3578.0,1.0,3578.0
SO43742,,,2011-01-09,2011-01-16,2011-01-21,3578.0,1.0,3578.0
SO43743,,8.0,2011-01-09,2011-01-16,2011-01-21,3400.0,1.0,3400.0
SO43744,,1169.0,2011-01-09,2011-01-16,2011-01-21,3578.0,1.0,3578.0
SO43745,,1052.0,2011-01-10,2011-01-17,2011-01-22,3578.0,1.0,3578.0
SO43746,,1154.0,2011-01-10,2011-01-17,2011-01-22,3578.0,1.0,3578.0
SO43747,,12161.0,2011-01-11,2011-01-18,2011-01-23,3578.0,1.0,3578.0
SO43748,,12163.0,2011-01-11,2011-01-18,2011-01-23,3578.0,1.0,3578.0
SO43749,,12174.0,2011-01-11,2011-01-18,2011-01-23,3578.0,1.0,3578.0
SO43750,,,2011-01-11,2011-01-18,2011-01-23,3578.0,1.0,3578.0
SO43751,,,2011-01-11,2011-01-18,2011-01-23,3578.0,1.0,3578.0
SO43752,,,2011-01-11,2011-01-18,2011-01-23,3578.0,1.0,3578.0
SO43753,,1020.0,2011-01-11,2011-01-18,2011-01-23,3578.0,1.0,3578.0
SO43754,,12155.0,2011-01-12,2011-01-19,2011-01-24,3578.0,1.0,3578.0
SO43755,,12208.0,2011-01-12,2011-01-19,2011-01-24,3578.0,1.0,3578.0
SO43756,,4479.0,2011-01-12,2011-01-19,2011-01-24,699.0,1.0,699.0
SO43757,,18.0,2011-01-12,2011-01-19,2011-01-24,3375.0,1.0,3375.0
SO43758,,12184.0,2011-01-13,2011-01-20,2011-01-25,3578.0,1.0,3578.0
SO43759,,,2011-01-13,2011-01-20,2011-01-25,3578.0,1.0,3578.0
SO43760,,890.0,2011-01-13,2011-01-20,2011-01-25,3578.0,1.0,3578.0
SO43761,,1031.0,2011-01-13,2011-01-20,2011-01-25,3578.0,1.0,3578.0
SO43762,,12116.0,2011-01-14,2011-01-21,2011-01-26,3578.0,1.0,3578.0
SO43763,,1063.0,2011-01-14,2011-01-21,2011-01-26,3578.0,1.0,3578.0
SO43764,,1150.0,2011-01-14,2011-01-21,2011-01-26,3578.0,1.0,3578.0
SO43765,,11.0,2011-01-14,2011-01-21,2011-01-26,3400.0,1.0,3400.0
SO43766,,1056.0,2011-01-15,2011-01-22,2011-01-27,3578.0,1.0,3578.0
SO43767,,2.0,2011-01-15,2011-01-22,2011-01-27,3375.0,1.0,3375.0
SO43768,,12187.0,2011-01-16,2011-01-23,2011-01-28,3578.0,1.0,3578.0
SO43769,,6197.0,2011-01-16,2011-01-23,2011-01-28,3578.0,1.0,3578.0
SO43770,,12152.0,2011-01-16,2011-01-23,2011-01-28,3578.0,1.0,3578.0
SO43771,,,2011-01-16,2011-01-23,2011-01-28,699.0,1.0,699.0
SO43772,,1062.0,2011-01-16,2011-01-23,2011-01-28,3578.0,1.0,3578.0
SO43773,,1064.0,2011-01-16,2011-01-23,2011-01-28,3578.0,1.0,3578.0
SO43774,,886.0,2011-01-16,2011-01-23,2011-01-28,3578.0,1.0,3578.0
SO43775,,28.0,2011-01-16,2011-01-23,2011-01-28,3400.0,1.0,3400.0
SO43776,,,2011-01-17,2011-01-24,2011-01-29,3578.0,1.0,3578.0
SO43777,,1053.0,2011-01-17,2011-01-24,2011-01-29,3578.0,1.0,3578.0
SO43778,,19.0,2011-01-17,2011-01-24,2011-01-29,3400.0,1.0,3400.0
SO43779,,9790.0,2011-01-17,2011-01-24,2011-01-29,699.0,1.0,699.0
SO43780,,,2011-01-18,2011-01-25,2011-01-30,3578.0,1.0,3578.0
SO43781,,1033.0,2011-01-18,2011-01-25,2011-01-30,3578.0,1.0,3578.0
SO43782,,1054.0,2011-01-18,2011-01-25,2011-01-30,3578.0,1.0,3578.0
SO43783,,1158.0,2011-01-18,2011-01-25,2011-01-30,3578.0,1.0,3578.0
SO43784,,12205.0,2011-01-19,2011-01-26,2011-01-31,3578.0,1.0,3578.0
SO43785,,,2011-01-19,2011-01-26,2011-01-31,3578.0,1.0,3578.0
SO43786,,,2011-01-19,2011-01-26,2011-01-31,3578.0,1.0,3578.0
SO43787,,13831.0,2011-01-19,2011-01-26,2011-01-31,3400.0,1.0,3400.0
SO43788,,,2011-01-19,2011-01-26,2011-01-31,3375.0,1.0,3375.0
SO43789,,10403.0,2011-01-19,2011-01-26,2011-01-31,3375.0,1.0,3375.0
SO43790,,10395.0,2011-01-19,2011-01-26,2011-01-31,3400.0,1.0,3400.0
SO43791,,1022.0,2011-01-19,2011-01-26,2011-01-31,3578.0,1.0,3578.0
SO43792,,1161.0,2011-01-19,2011-01-26,2011-01-31,3578.0,1.0,3578.0
SO43793,,1.0,2011-01-19,2011-01-26,2011-01-31,3400.0,1.0,3400.0
SO43794,,30.0,2011-01-19,2011-01-26,2011-01-31,3400.0,1.0,3400.0
SO43795,,12153.0,2011-01-20,2011-01-27,2011-02-01,3578.0,1.0,3578.0
SO43796,,2494.0,2011-01-20,2011-01-27,2011-02-01,699.0,1.0,699.0
SO43797,,883.0,2011-01-20,2011-01-27,2011-02-01,3578.0,1.0,3578.0
SO43798,,1059.0,2011-01-20,2011-01-27,2011-02-01,3578.0,1.0,3578.0
SO43799,,1174.0,2011-01-20,2011-01-27,2011-02-01,3578.0,1.0,3578.0
SO43800,,6248.0,2011-01-21,2011-01-28,2011-02-02,3578.0,1.0,3578.0
SO43801,,,2011-01-21,2011-01-28,2011-02-02,3578.0,1.0,3578.0
SO43802,,,2011-01-21,2011-01-28,2011-02-02,3578.0,1.0,3578.0
SO43803,,6279.0,2011-01-22,2011-01-29,2011-02-03,3578.0,1.0,3578.0
SO43804,,,2011-01-22,2011-01-29,2011-02-03,3578.0,1.0,3578.0
SO43805,,,2011-01-22,2011-01-29,2011-02-03,699.0,1.0,699.0
SO43806,,1061.0,2011-01-22,2011-01-29,2011-02-03,3578.0,1.0,3578.0
SO43807,,,2011-01-23,2011-01-30,2011-02-04,3578.0,1.0,3578.0
SO43808,,,2011-01-23,2011-01-30,2011-02-04,3578.0,1.0,3578.0
SO43809,,888.0,2011-01-23,2011-01-30,2011-02-04,3578.0,1.0,3578.0
SO43810,,5.0,2011-01-23,2011-01-30,2011-02-04,3400.0,1.0,3400.0
SO43811,,27.0,2011-01-23,2011-01-30,2011-02-04,3400.0,1.0,3400.0
SO43812,,12200.0,2011-01-24,2011-01-31,2011-02-05,3578.0,1.0,3578.0
SO43813,,,2011-01-24,2011-01-31,2011-02-05,3375.0,1.0,3375.0
SO43814,,10404.0,2011-01-24,2011-01-31,2011-02-05,3375.0,1.0,3375.0
SO43815,,1032.0,2011-01-24,2011-01-31,2011-02-05,3578.0,1.0,3578.0
SO43816,,1034.0,2011-01-24,2011-01-31,2011-02-05,3578.0,1.0,3578.0
SO43817,,1057.0,2011-01-24,2011-01-31,2011-02-05,3578.0,1.0,3578.0
SO43818,,1066.0,2011-01-24,2011-01-31,2011-02-05,3578.0,1.0,3578.0
SO43819,,7.0,2011-01-24,2011-01-31,2011-02-05,3400.0,1.0,3400.0
SO43820,,12189.0,2011-01-25,2011-02-01,2011-02-06,3578.0,1.0,3578.0
SO43821,,12201.0,2011-01-25,2011-02-01,2011-02-06,3578.0,1.0,3578.0
SO43822,,12207.0,2011-01-25,2011-02-01,2011-02-06,3578.0,1.0,3578.0
SO43823,,4480.0,2011-01-25,2011-02-01,2011-02-06,699.0,1.0,699.0
SO43824,,,2011-01-25,2011-02-01,2011-02-06,699.0,1.0,699.0
SO43825,,887.0,2011-01-25,2011-02-01,2011-02-06,3578.0,1.0,3578.0
SO43826,,9.0,2011-01-25,2011-02-01,2011-02-06,3375.0,1.0,3375.0
SO43827,,9788.0,2011-01-25,2011-02-01,2011-02-06,699.0,1.0,699.0
SO43828,,12143.0,2011-01-26,2011-02-02,2011-02-07,3578.0,1.0,3578.0
SO43829,,12149.0,2011-01-26,2011-02-02,2011-02-07,3578.0,1.0,3578.0
SO43830,,885.0,2011-01-26,2011-02-02,2011-02-07,3578.0,1.0,3578.0
SO43831,,29.0,2011-01-26,2011-02-02,2011-02-07,3375.0,1.0,3375.0
SO43832,,,2011-01-26,2011-02-02,2011-02-07,3578.0,1.0,3578.0
SO43833,,6265.0,2011-01-27,2011-02-03,2011-02-08,3578.0,1.0,3578.0
SO43834,,,2011-01-27,2011-02-03,2011-02-08,3375.0,1.0,3375.0
SO43835,,4340.0,2011-01-27,2011-02-03,2011-02-08,3375.0,1.0,3375.0
SO43836,,11158.0,2011-01-27,2011-02-03,2011-02-08,699.0,1.0,699.0
SO43837,,10.0,2011-01-27,2011-02-03,2011-02-08,3375.0,1.0,3375.0
SO43838,,12179.0,2011-01-28,2011-02-04,2011-02-09,3578.0,1.0,3578.0
SO43839,,12211.0,2011-01-28,2011-02-04,2011-02-09,3578.0,1.0,3578.0
SO43840,,2495.0,2011-01-28,2011-02-04,2011-02-09,699.0,1.0,699.0
SO43841,,,2011-01-28,2011-02-04,2011-02-09,3578.0,1.0,3578.0
SO43842,,1168.0,2011-01-28,2011-02-04,2011-02-09,3578.0,1.0,3578.0
SO43918,,6579.0,2011-01-29,2011-02-05,2011-02-10,3578.0,1.0,3578.0
SO43919,,,2011-01-29,2011-02-05,2011-02-10,3578.0,1.0,3578.0
SO43920,,12604.0,2011-01-29,2011-02-05,2011-02-10,3578.0,1.0,3578.0
SO43921,,1281.0,2011-01-29,2011-02-05,2011-02-10,3578.0,1.0,3578.0
SO43922,,,2011-01-29,2011-02-05,2011-02-10,3578.0,1.0,3578.0
SO43923,,12556.0,2011-01-30,2011-02-06,2011-02-11,3578.0,1.0,3578.0
SO43924,,,2011-01-30,2011-02-06,2011-02-11,3578.0,1.0,3578.0
SO43925,,1199.0,2011-01-30,2011-02-06,2011-02-11,3578.0,1.0,3578.0
SO43926,,56.0,2011-01-31,2011-02-07,2011-02-12,3375.0,1.0,3375.0
SO43927,,1200.0,2011-01-31,2011-02-07,2011-02-12,3578.0,1.0,3578.0
SO43928,,1278.0,2011-01-31,2011-02-07,2011-02-12,3578.0,1.0,3578.0
SO43929,,9808.0,2011-01-31,2011-02-07,2011-02-12,699.0,1.0,699.0
SO43930,,12576.0,2011-02-01,2011-02-08,2011-02-13,3578.0,1.0,3578.0
SO43931,,,2011-02-01,2011-02-08,2011-02-13,3578.0,1.0,3578.0
SO43932,,1279.0,2011-02-01,2011-02-08,2011-02-13,3578.0,1.0,3578.0
SO43933,,32.0,2011-02-01,2011-02-08,2011-02-13,3400.0,1.0,3400.0
SO43934,,35.0,2011-02-01,2011-02-08,2011-02-13,3400.0,1.0,3400.0
SO43935,,4586.0,2011-02-02,2011-02-09,2011-02-14,699.0,1.0,699.0
SO43936,,12603.0,2011-02-02,2011-02-09,2011-02-14,3578.0,1.0,3578.0
SO43937,,1585.0,2011-02-02,2011-02-09,2011-02-14,3578.0,1.0,3578.0
SO43938,,1224.0,2011-02-02,2011-02-09,2011-02-14,3578.0,1.0,3578.0
SO43939,,1197.0,2011-02-02,2011-02-09,2011-02-14,3578.0,1.0,3578.0
SO43940,,9832.0,2011-02-02,2011-02-09,2011-02-14,699.0,1.0,699.0
SO43941,,,2011-02-03,2011-02-10,2011-02-15,3578.0,1.0,3578.0
SO43942,,1589.0,2011-02-03,2011-02-10,2011-02-15,3578.0,1.0,3578.0
SO43943,,,2011-02-03,2011-02-10,2011-02-15,699.0,1.0,699.0
SO43944,,55.0,2011-02-03,2011-02-10,2011-02-15,3400.0,1.0,3400.0
SO43945,,1213.0,2011-02-03,2011-02-10,2011-02-15,3578.0,1.0,3578.0
SO43946,,1225.0,2011-02-03,2011-02-10,2011-02-15,3578.0,1.0,3578.0
SO43947,,1250.0,2011-02-03,2011-02-10,2011-02-15,3578.0,1.0,3578.0
SO43948,,48.0,2011-02-03,2011-02-10,2011-02-15,3400.0,1.0,3400.0
SO43949,,12264.0,2011-02-04,2011-02-11,2011-02-16,3578.0,1.0,3578.0
SO43950,,12552.0,2011-02-04,2011-02-11,2011-02-16,3578.0,1.0,3578.0
SO43951,,1234.0,2011-02-04,2011-02-11,2011-02-16,3578.0,1.0,3578.0
SO43952,,1177.0,2011-02-04,2011-02-11,2011-02-16,3578.0,1.0,3578.0
SO43953,,4587.0,2011-02-05,2011-02-12,2011-02-17,699.0,1.0,699.0
SO43954,,,2011-02-05,2011-02-12,2011-02-17,3578.0,1.0,3578.0
SO43955,,,2011-02-05,2011-02-12,2011-02-17,3578.0,1.0,3578.0
SO43956,,31.0,2011-02-05,2011-02-12,2011-02-17,3400.0,1.0,3400.0
SO43957,,12606.0,2011-02-06,2011-02-13,2011-02-18,3578.0,1.0,3578.0
SO43958,,1196.0,2011-02-06,2011-02-13,2011-02-18,3578.0,1.0,3578.0
SO43959,,36.0,2011-02-06,2011-02-13,2011-02-18,3375.0,1.0,3375.0
SO43960,,47.0,2011-02-06,2011-02-13,2011-02-18,3375.0,1.0,3375.0
SO43961,,12569.0,2011-02-07,2011-02-14,2011-02-19,3578.0,1.0,3578.0
SO43962,,12614.0,2011-02-07,2011-02-14,2011-02-19,3578.0,1.0,3578.0
SO43963,,1223.0,2011-02-07,2011-02-14,2011-02-19,3578.0,1.0,3578.0
SO43964,,1283.0,2011-02-07,2011-02-14,2011-02-19,3578.0,1.0,3578.0
SO43965,,39.0,2011-02-07,2011-02-14,2011-02-19,3375.0,1.0,3375.0
SO43966,,40.0,2011-02-07,2011-02-14,2011-02-19,3400.0,1.0,3400.0
SO43967,,12578.0,2011-02-08,2011-02-15,2011-02-20,3578.0,1.0,3578.0
SO43968,,12605.0,2011-02-08,2011-02-15,2011-02-20,3578.0,1.0,3578.0
SO43969,,12609.0,2011-02-08,2011-02-15,2011-02-20,3578.0,1.0,3578.0
SO43970,,1222.0,2011-02-08,2011-02-15,2011-02-20,3578.0,1.0,3578.0
SO43971,,1195.0,2011-02-08,2011-02-15,2011-02-20,3578.0,1.0,3578.0
SO43972,,6477.0,2011-02-09,2011-02-16,2011-02-21,3578.0,1.0,3578.0
SO43973,,12577.0,2011-02-09,2011-02-16,2011-02-21,3578.0,1.0,3578.0
SO43974,,,2011-02-09,2011-02-16,2011-02-21,3578.0,1.0,3578.0
SO43975,,,2011-02-09,2011-02-16,2011-02-21,3578.0,1.0,3578.0
SO43976,,12601.0,2011-02-09,2011-02-16,2011-02-21,3578.0,1.0,3578.0
SO43977,,1241.0,2011-02-09,2011-02-16,2011-02-21,3578.0,1.0,3578.0
SO43978,,12568.0,2011-02-10,2011-02-17,2011-02-22,3578.0,1.0,3578.0
SO43979,,,2011-02-10,2011-02-17,2011-02-22,699.0,1.0,699.0
SO43980,,49.0,2011-02-10,2011-02-17,2011-02-22,3375.0,1.0,3375.0
SO43981,,1202.0,2011-02-10,2011-02-17,2011-02-22,3578.0,1.0,3578.0
SO43982,,9809.0,2011-02-10,2011-02-17,2011-02-22,699.0,1.0,699.0
SO43983,,12555.0,2011-02-11,2011-02-18,2011-02-23,3578.0,1.0,3578.0
SO43984,,,2011-02-11,2011-02-18,2011-02-23,3578.0,1.0,3578.0
SO43985,,,2011-02-11,2011-02-18,2011-02-23,3578.0,1.0,3578.0
SO43986,,12608.0,2011-02-11,2011-02-18,2011-02-23,3578.0,1.0,3578.0
SO43987,,12580.0,2011-02-12,2011-02-19,2011-02-24,3578.0,1.0,3578.0
SO43988,,,2011-02-12,2011-02-19,2011-02-24,3400.0,1.0,3400.0
SO43989,,12621.0,2011-02-12,2011-02-19,2011-02-24,3578.0,1.0,3578.0
SO43990,,10410.0,2011-02-12,2011-02-19,2011-02-24,3400.0,1.0,3400.0
SO43991,,1198.0,2011-02-12,2011-02-19,2011-02-24,3578.0,1.0,3578.0
SO43992,,1176.0,2011-02-12,2011-02-19,2011-02-24,3578.0,1.0,3578.0
SO43993,,1467.0,2011-02-14,2011-02-21,2011-02-26,3578.0,1.0,3578.0
SO43994,,12219.0,2011-02-15,2011-02-22,2011-02-27,3578.0,1.0,3578.0
SO43995,,6351.0,2011-02-15,2011-02-22,2011-02-27,3578.0,1.0,3578.0
SO43996,,12458.0,2011-02-15,2011-02-22,2011-02-27,3578.0,1.0,3578.0
SO43997,,12560.0,2011-02-15,2011-02-22,2011-02-27,3578.0,1.0,3578.0
SO43998,,34.0,2011-02-15,2011-02-22,2011-02-27,3375.0,1.0,3375.0
SO43999,,12585.0,2011-02-15,2011-02-22,2011-02-27,3578.0,1.0,3578.0
SO44000,,12456.0,2011-02-16,2011-02-23,2011-02-28,3578.0,1.0,3578.0
SO44001,,12582.0,2011-02-16,2011-02-23,2011-02-28,3578.0,1.0,3578.0
SO44002,,,2011-02-16,2011-02-23,2011-02-28,699.0,1.0,699.0
SO44003,,3863.0,2011-02-16,2011-02-23,2011-02-28,699.0,1.0,699.0
SO44004,,12599.0,2011-02-16,2011-02-23,2011-02-28,3578.0,1.0,3578.0
SO44005,,11167.0,2011-02-16,2011-02-23,2011-02-28,699.0,1.0,699.0
SO44006,,1282.0,2011-02-16,2011-02-23,2011-02-28,3578.0,1.0,3578.0
SO44007,,10093.0,2011-02-16,2011-02-23,2011-02-28,699.0,1.0,699.0
SO44008,,12216.0,2011-02-17,2011-02-24,2011-03-01,3578.0,1.0,3578.0
SO44009,,12297.0,2011-02-17,2011-02-24,2011-03-01,3578.0,1.0,3578.0
SO44010,,,2011-02-17,2011-02-24,2011-03-01,3578.0,1.0,3578.0
SO44011,,,2011-02-17,2011-02-24,2011-03-01,3578.0,1.0,3578.0
SO44012,,53.0,2011-02-17,2011-02-24,2011-03-01,3375.0,1.0,3375.0
SO44013,,1466.0,2011-02-17,2011-02-24,2011-03-01,3578.0,1.0,3578.0
SO44014,,12455.0,2011-02-18,2011-02-25,2011-03-02,3578.0,1.0,3578.0
SO44015,,,2011-02-18,2011-02-25,2011-03-02,3578.0,1.0,3578.0
SO44016,,,2011-02-18,2011-02-25,2011-03-02,3375.0,1.0,3375.0
SO44017,,12616.0,2011-02-18,2011-02-25,2011-03-02,3578.0,1.0,3578.0
SO44018,,10414.0,2011-02-18,2011-02-25,2011-03-02,3375.0,1.0,3375.0
SO44019,,1239.0,2011-02-18,2011-02-25,2011-03-02,3578.0,1.0,3578.0
SO44020,,1469.0,2011-02-18,2011-02-25,2011-03-02,3578.0,1.0,3578.0
SO44021,,33.0,2011-02-18,2011-02-25,2011-03-02,3375.0,1.0,3375.0
SO44022,,6546.0,2011-02-19,2011-02-26,2011-03-03,3578.0,1.0,3578.0
SO44023,,4368.0,2011-02-19,2011-02-26,2011-03-03,3375.0,1.0,3375.0
SO44024,,1201.0,2011-02-19,2011-02-26,2011-03-03,3578.0,1.0,3578.0
SO44025,,1246.0,2011-02-19,2011-02-26,2011-03-03,3578.0,1.0,3578.0
SO44026,,1583.0,2011-02-19,2011-02-26,2011-03-03,3578.0,1.0,3578.0
SO44027,,6459.0,2011-02-20,2011-02-27,2011-03-04,3578.0,1.0,3578.0
SO44028,,1586.0,2011-02-20,2011-02-27,2011-03-04,3578.0,1.0,3578.0
SO44029,,51.0,2011-02-20,2011-02-27,2011-03-04,3375.0,1.0,3375.0
SO44030,,,2011-02-21,2011-02-28,2011-03-05,3578.0,1.0,3578.0
SO44031,,,2011-02-21,2011-02-28,2011-03-05,3578.0,1.0,3578.0
SO44032,,,2011-02-21,2011-02-28,2011-03-05,3400.0,1.0,3400.0
SO44033,,1231.0,2011-02-21,2011-02-28,2011-03-05,3578.0,1.0,3578.0
SO44034,,1240.0,2011-02-21,2011-02-28,2011-03-05,3578.0,1.0,3578.0
SO44035,,1245.0,2011-02-21,2011-02-28,2011-03-05,3578.0,1.0,3578.0
SO44036,,1584.0,2011-02-21,2011-02-28,2011-03-05,3578.0,1.0,3578.0
SO44037,,9810.0,2011-02-21,2011-02-28,2011-03-05,699.0,1.0,699.0
SO44038,,10406.0,2011-02-21,2011-02-28,2011-03-05,3400.0,1.0,3400.0
SO44039,,2509.0,2011-02-22,2011-03-01,2011-03-06,699.0,1.0,699.0
SO44040,,58.0,2011-02-22,2011-03-01,2011-03-06,3375.0,1.0,3375.0
SO44041,,1280.0,2011-02-22,2011-03-01,2011-03-06,3578.0,1.0,3578.0
SO44042,,,2011-02-23,2011-03-02,2011-03-07,3578.0,1.0,3578.0
SO44043,,,2011-02-23,2011-03-02,2011-03-07,3578.0,1.0,3578.0
SO44044,,,2011-02-23,2011-03-02,2011-03-07,3578.0,1.0,3578.0
SO44045,,,2011-02-23,2011-03-02,2011-03-07,3400.0,1.0,3400.0
SO44046,,12602.0,2011-02-23,2011-03-02,2011-03-07,3578.0,1.0,3578.0
SO44047,,10416.0,2011-02-23,2011-03-02,2011-03-07,3400.0,1.0,3400.0
SO44048,,1251.0,2011-02-23,2011-03-02,2011-03-07,3578.0,1.0,3578.0
SO44049,,,2011-02-24,2011-03-03,2011-03-08,3578.0,1.0,3578.0
SO44050,,1588.0,2011-02-24,2011-03-03,2011-03-08,3578.0,1.0,3578.0
SO44051,,,2011-02-25,2011-03-04,2011-03-09,3578.0,1.0,3578.0
SO44052,,1175.0,2011-02-25,2011-03-04,2011-03-09,3578.0,1.0,3578.0
SO44053,,3867.0,2011-02-26,2011-03-05,2011-03-10,699.0,1.0,699.0
SO44054,,,2011-02-26,2011-03-05,2011-03-10,3578.0,1.0,3578.0
SO44055,,,2011-02-26,2011-03-05,2011-03-10,3578.0,1.0,3578.0
SO44056,,,2011-02-26,2011-03-05,2011-03-10,3578.0,1.0,3578.0
SO44057,,,2011-02-26,2011-03-05,2011-03-10,699.0,1.0,699.0
SO44058,,57.0,2011-02-26,2011-03-05,2011-03-10,3375.0,1.0,3375.0
SO44059,,1226.0,2011-02-26,2011-03-05,2011-03-10,3578.0,1.0,3578.0
SO44060,,9811.0,2011-02-26,2011-03-05,2011-03-10,699.0,1.0,699.0
SO44061,,12457.0,2011-02-27,2011-03-06,2011-03-11,3578.0,1.0,3578.0
SO44062,,12579.0,2011-02-27,2011-03-06,2011-03-11,3578.0,1.0,3578.0
SO44063,,,2011-02-27,2011-03-06,2011-03-11,3400.0,1.0,3400.0
SO44064,,6588.0,2011-02-27,2011-03-06,2011-03-11,3578.0,1.0,3578.0
SO44065,,12600.0,2011-02-27,2011-03-06,2011-03-11,3578.0,1.0,3578.0
SO44066,,10405.0,2011-02-27,2011-03-06,2011-03-11,3400.0,1.0,3400.0
SO44067,,1587.0,2011-02-27,2011-03-06,2011-03-11,3578.0,1.0,3578.0
SO44068,,,2011-02-28,2011-03-07,2011-03-12,3578.0,1.0,3578.0
SO44069,,,2011-02-28,2011-03-07,2011-03-12,3375.0,1.0,3375.0
SO44070,,4367.0,2011-02-28,2011-03-07,2011-03-12,3375.0,1.0,3375.0
SO44071,,1229.0,2011-02-28,2011-03-07,2011-03-12,3578.0,1.0,3578.0
SO44072,,1194.0,2011-02-28,2011-03-07,2011-03-12,3578.0,1.0,3578.0
SO44073,,45.0,2011-02-28,2011-03-07,2011-03-12,3375.0,1.0,3375.0
SO44134,,,2011-03-01,2011-03-08,2011-03-13,3578.0,1.0,3578.0
SO44135,,12694.0,2011-03-01,2011-03-08,2011-03-13,3578.0,1.0,3578.0
SO44136,,6652.0,2011-03-01,2011-03-08,2011-03-13,3578.0,1.0,3578.0
SO44137,,1866.0,2011-03-01,2011-03-08,2011-03-13,3578.0,1.0,3578.0
SO44138,,,2011-03-02,2011-03-09,2011-03-14,3578.0,1.0,3578.0
SO44139,,,2011-03-02,2011-03-09,2011-03-14,3578.0,1.0,3578.0
SO44140,,,2011-03-02,2011-03-09,2011-03-14,3578.0,1.0,3578.0
SO44141,,,2011-03-02,2011-03-09,2011-03-14,3578.0,1.0,3578.0
SO44142,,6596.0,2011-03-02,2011-03-09,2011-03-14,3578.0,1.0,3578.0
