order_number,order_date,sales_amount,quantity,price,category,country,customer_id,shipping_days
SO43730,2011-01-06,3400.0,1.0,3400.0,,United States,AW00025861,7.0
SO43731,2011-01-06,3578.0,1.0,3578.0,,Australia,AW00016629,7.0
SO43732,2011-01-06,3375.0,1.0,3375.0,,Australia,AW00011025,7.0
SO43733,2011-01-06,3578.0,1.0,3578.0,,United States,AW00027577,7.0
SO43734,2011-01-07,3578.0,1.0,3578.0,,United States,AW00027604,7.0
SO43735,2011-01-07,3578.0,1.0,3578.0,,Australia,AW00016522,7.0
SO43736,2011-01-07,3400.0,1.0,3400.0,,Australia,AW00011002,7.0
SO43737,2011-01-08,3578.0,1.0,3578.0,,,,7.0
SO43738,2011-01-08,3578.0,1.0,3578.0,,,,7.0
SO43739,2011-01-08,3578.0,1.0,3578.0,,,,7.0
SO43740,2011-01-08,3578.0,1.0,3578.0,,Australia,AW00016527,7.0
SO43741,2011-01-09,3578.0,1.0,3578.0,,United States,AW00027671,7.0
SO43742,2011-01-09,3578.0,1.0,3578.0,,,,7.0
SO43743,2011-01-09,3400.0,1.0,3400.0,,Australia,AW00011007,7.0
SO43744,2011-01-09,3578.0,1.0,3578.0,,Australia,AW00016631,7.0
SO43745,2011-01-10,3578.0,1.0,3578.0,,Australia,AW00016514,7.0
SO43746,2011-01-10,3578.0,1.0,3578.0,,Australia,AW00016616,7.0
SO43747,2011-01-11,3578.0,1.0,3578.0,,United States,AW00027623,7.0
SO43748,2011-01-11,3578.0,1.0,3578.0,,United States,AW00027625,7.0
SO43749,2011-01-11,3578.0,1.0,3578.0,,United States,AW00027636,7.0
SO43750,2011-01-11,3578.0,1.0,3578.0,,,,7.0
SO43751,2011-01-11,3578.0,1.0,3578.0,,,,7.0
SO43752,2011-01-11,3578.0,1.0,3578.0,,,,7.0
SO43753,2011-01-11,3578.0,1.0,3578.0,,Australia,AW00016482,7.0
SO43754,2011-01-12,3578.0,1.0,3578.0,,United States,AW00027617,7.0
SO43755,2011-01-12,3578.0,1.0,3578.0,,United States,AW00027670,7.0
SO43756,2011-01-12,699.0,1.0,699.0,,United Kingdom,AW00019941,7.0
SO43757,2011-01-12,3375.0,1.0,3375.0,,Australia,AW00011017,7.0
SO43758,2011-01-13,3578.0,1.0,3578.0,,United States,AW00027646,7.0
SO43759,2011-01-13,3578.0,1.0,3578.0,,,,7.0
SO43760,2011-01-13,3578.0,1.0,3578.0,,Australia,AW00016352,7.0
SO43761,2011-01-13,3578.0,1.0,3578.0,,Australia,AW00016493,7.0
SO43762,2011-01-14,3578.0,1.0,3578.0,,United States,AW00027578,7.0
SO43763,2011-01-14,3578.0,1.0,3578.0,,Australia,AW00016525,7.0
SO43764,2011-01-14,3578.0,1.0,3578.0,,Australia,AW00016612,7.0
SO43765,2011-01-14,3400.0,1.0,3400.0,,Australia,AW00011010,7.0
SO43766,2011-01-15,3578.0,1.0,3578.0,,Australia,AW00016518,7.0
SO43767,2011-01-15,3375.0,1.0,3375.0,,Australia,AW00011001,7.0
SO43768,2011-01-16,3578.0,1.0,3578.0,,United States,AW00027649,7.0
SO43769,2011-01-16,3578.0,1.0,3578.0,,Canada,AW00021659,7.0
SO43770,2011-01-16,3578.0,1.0,3578.0,,United States,AW00027614,7.0
SO43771,2011-01-16,699.0,1.0,699.0,,,,7.0
SO43772,2011-01-16,3578.0,1.0,3578.0,,Australia,AW00016524,7.0
SO43773,2011-01-16,3578.0,1.0,3578.0,,Australia,AW00016526,7.0
SO43774,2011-01-16,3578.0,1.0,3578.0,,Australia,AW00016348,7.0
SO43775,2011-01-16,3400.0,1.0,3400.0,,Australia,AW00011027,7.0
SO43776,2011-01-17,3578.0,1.0,3578.0,,,,7.0
SO43777,2011-01-17,3578.0,1.0,3578.0,,Australia,AW00016515,7.0
SO43778,2011-01-17,3400.0,1.0,3400.0,,Australia,AW00011018,7.0
SO43779,2011-01-17,699.0,1.0,699.0,,Australia,AW00025252,7.0
SO43780,2011-01-18,3578.0,1.0,3578.0,,,,7.0
SO43781,2011-01-18,3578.0,1.0,3578.0,,Australia,AW00016495,7.0
SO43782,2011-01-18,3578.0,1.0,3578.0,,Australia,AW00016516,7.0
SO43783,2011-01-18,3578.0,1.0,3578.0,,Australia,AW00016620,7.0
SO43784,2011-01-19,3578.0,1.0,3578.0,,United States,AW00027667,7.0
SO43785,2011-01-19,3578.0,1.0,3578.0,,,,7.0
SO43786,2011-01-19,3578.0,1.0,3578.0,,,,7.0
SO43787,2011-01-19,3400.0,1.0,3400.0,,Germany,AW00029385,7.0
SO43788,2011-01-19,3375.0,1.0,3375.0,,,,7.0
SO43789,2011-01-19,3375.0,1.0,3375.0,,United States,AW00025865,7.0
SO43790,2011-01-19,3400.0,1.0,3400.0,,United States,AW00025857,7.0
SO43791,2011-01-19,3578.0,1.0,3578.0,,Australia,AW00016484,7.0
SO43792,2011-01-19,3578.0,1.0,3578.0,,Australia,AW00016623,7.0
SO43793,2011-01-19,3400.0,1.0,3400.0,,Australia,AW00011000,7.0
SO43794,2011-01-19,3400.0,1.0,3400.0,,Australia,AW00011029,7.0
SO43795,2011-01-20,3578.0,1.0,3578.0,,United States,AW00027615,7.0
SO43796,2011-01-20,699.0,1.0,699.0,,France,AW00017956,7.0
SO43797,2011-01-20,3578.0,1.0,3578.0,,Australia,AW00016345,7.0
SO43798,2011-01-20,3578.0,1.0,3578.0,,Australia,AW00016521,7.0
SO43799,2011-01-20,3578.0,1.0,3578.0,,Australia,AW00016636,7.0
SO43800,2011-01-21,3578.0,1.0,3578.0,,Canada,AW00021710,7.0
SO43801,2011-01-21,3578.0,1.0,3578.0,,,,7.0
SO43802,2011-01-21,3578.0,1.0,3578.0,,,,7.0
SO43803,2011-01-22,3578.0,1.0,3578.0,,Canada,AW00021741,7.0
SO43804,2011-01-22,3578.0,1.0,3578.0,,,,7.0
SO43805,2011-01-22,699.0,1.0,699.0,,,,7.0
SO43806,2011-01-22,3578.0,1.0,3578.0,,Australia,AW00016523,7.0
SO43807,2011-01-23,3578.0,1.0,3578.0,,,,7.0
SO43808,2011-01-23,3578.0,1.0,3578.0,,,,7.0
SO43809,2011-01-23,3578.0,1.0,3578.0,,Australia,AW00016350,7.0
SO43810,2011-01-23,3400.0,1.0,3400.0,,Australia,AW00011004,7.0
SO43811,2011-01-23,3400.0,1.0,3400.0,,Australia,AW00011026,7.0
SO43812,2011-01-24,3578.0,1.0,3578.0,,United States,AW00027662,7.0
SO43813,2011-01-24,3375.0,1.0,3375.0,,,,7.0
SO43814,2011-01-24,3375.0,1.0,3375.0,,United States,AW00025866,7.0
SO43815,2011-01-24,3578.0,1.0,3578.0,,Australia,AW00016494,7.0
SO43816,2011-01-24,3578.0,1.0,3578.0,,Australia,AW00016496,7.0
SO43817,2011-01-24,3578.0,1.0,3578.0,,Australia,AW00016519,7.0
SO43818,2011-01-24,3578.0,1.0,3578.0,,Australia,AW00016528,7.0
SO43819,2011-01-24,3400.0,1.0,3400.0,,Australia,AW00011006,7.0
SO43820,2011-01-25,3578.0,1.0,3578.0,,United States,AW00027651,7.0
SO43821,2011-01-25,3578.0,1.0,3578.0,,United States,AW00027663,7.0
SO43822,2011-01-25,3578.0,1.0,3578.0,,United States,AW00027669,7.0
SO43823,2011-01-25,699.0,1.0,699.0,,United Kingdom,AW00019942,7.0
SO43824,2011-01-25,699.0,1.0,699.0,,,,7.0
SO43825,2011-01-25,3578.0,1.0,3578.0,,Australia,AW00016349,7.0
SO43826,2011-01-25,3375.0,1.0,3375.0,,Australia,AW00011008,7.0
SO43827,2011-01-25,699.0,1.0,699.0,,Australia,AW00025250,7.0
SO43828,2011-01-26,3578.0,1.0,3578.0,,United States,AW00027605,7.0
SO43829,2011-01-26,3578.0,1.0,3578.0,,United States,AW00027611,7.0
SO43830,2011-01-26,3578.0,1.0,3578.0,,Australia,AW00016347,7.0
SO43831,2011-01-26,3375.0,1.0,3375.0,,Australia,AW00011028,7.0
SO43832,2011-01-26,3578.0,1.0,3578.0,,,,7.0
SO43833,2011-01-27,3578.0,1.0,3578.0,,Canada,AW00021727,7.0
SO43834,2011-01-27,3375.0,1.0,3375.0,,,,7.0
SO43835,2011-01-27,3375.0,1.0,3375.0,,Canada,AW00019802,7.0
SO43836,2011-01-27,699.0,1.0,699.0,,Canada,AW00026620,7.0
SO43837,2011-01-27,3375.0,1.0,3375.0,,Australia,AW00011009,7.0
SO43838,2011-01-28,3578.0,1.0,3578.0,,United States,AW00027641,7.0
SO43839,2011-01-28,3578.0,1.0,3578.0,,United States,AW00027673,7.0
SO43840,2011-01-28,699.0,1.0,699.0,,France,AW00017957,7.0
SO43841,2011-01-28,3578.0,1.0,3578.0,,,,7.0
SO43842,2011-01-28,3578.0,1.0,3578.0,,Australia,AW00016630,7.0
SO43918,2011-01-29,3578.0,1.0,3578.0,,Canada,AW00022041,7.0
SO43919,2011-01-29,3578.0,1.0,3578.0,,,,7.0
SO43920,2011-01-29,3578.0,1.0,3578.0,,United States,AW00028066,7.0
SO43921,2011-01-29,3578.0,1.0,3578.0,,Australia,AW00016743,7.0
SO43922,2011-01-29,3578.0,1.0,3578.0,,,,7.0
SO43923,2011-01-30,3578.0,1.0,3578.0,,United States,AW00028018,7.0
SO43924,2011-01-30,3578.0,1.0,3578.0,,,,7.0
SO43925,2011-01-30,3578.0,1.0,3578.0,,Australia,AW00016661,7.0
SO43926,2011-01-31,3375.0,1.0,3375.0,,Australia,AW00011055,7.0
SO43927,2011-01-31,3578.0,1.0,3578.0,,Australia,AW00016662,7.0
SO43928,2011-01-31,3578.0,1.0,3578.0,,Australia,AW00016740,7.0
SO43929,2011-01-31,699.0,1.0,699.0,,Australia,AW00025270,7.0
SO43930,2011-02-01,3578.0,1.0,3578.0,,United States,AW00028038,7.0
SO43931,2011-02-01,3578.0,1.0,3578.0,,,,7.0
SO43932,2011-02-01,3578.0,1.0,3578.0,,Australia,AW00016741,7.0
SO43933,2011-02-01,3400.0,1.0,3400.0,,Australia,AW00011031,7.0
SO43934,2011-02-01,3400.0,1.0,3400.0,,Australia,AW00011034,7.0
SO43935,2011-02-02,699.0,1.0,699.0,,United Kingdom,AW00020048,7.0
SO43936,2011-02-02,3578.0,1.0,3578.0,,United States,AW00028065,7.0
SO43937,2011-02-02,3578.0,1.0,3578.0,,Australia,AW00017047,7.0
SO43938,2011-02-02,3578.0,1.0,3578.0,,Australia,AW00016686,7.0
SO43939,2011-02-02,3578.0,1.0,3578.0,,Australia,AW00016659,7.0
SO43940,2011-02-02,699.0,1.0,699.0,,Australia,AW00025294,7.0
SO43941,2011-02-03,3578.0,1.0,3578.0,,,,7.0
SO43942,2011-02-03,3578.0,1.0,3578.0,,Australia,AW00017051,7.0
SO43943,2011-02-03,699.0,1.0,699.0,,,,7.0
SO43944,2011-02-03,3400.0,1.0,3400.0,,Australia,AW00011054,7.0
SO43945,2011-02-03,3578.0,1.0,3578.0,,Australia,AW00016675,7.0
SO43946,2011-02-03,3578.0,1.0,3578.0,,Australia,AW00016687,7.0
SO43947,2011-02-03,3578.0,1.0,3578.0,,Australia,AW00016712,7.0
SO43948,2011-02-03,3400.0,1.0,3400.0,,Australia,AW00011047,7.0
SO43949,2011-02-04,3578.0,1.0,3578.0,,United States,AW00027726,7.0
SO43950,2011-02-04,3578.0,1.0,3578.0,,United States,AW00028014,7.0
SO43951,2011-02-04,3578.0,1.0,3578.0,,Australia,AW00016696,7.0
SO43952,2011-02-04,3578.0,1.0,3578.0,,Australia,AW00016639,7.0
SO43953,2011-02-05,699.0,1.0,699.0,,United Kingdom,AW00020049,7.0
SO43954,2011-02-05,3578.0,1.0,3578.0,,,,7.0
SO43955,2011-02-05,3578.0,1.0,3578.0,,,,7.0
SO43956,2011-02-05,3400.0,1.0,3400.0,,Australia,AW00011030,7.0
SO43957,2011-02-06,3578.0,1.0,3578.0,,United States,AW00028068,7.0
SO43958,2011-02-06,3578.0,1.0,3578.0,,Australia,AW00016658,7.0
SO43959,2011-02-06,3375.0,1.0,3375.0,,Australia,AW00011035,7.0
SO43960,2011-02-06,3375.0,1.0,3375.0,,Australia,AW00011046,7.0
SO43961,2011-02-07,3578.0,1.0,3578.0,,United States,AW00028031,7.0
SO43962,2011-02-07,3578.0,1.0,3578.0,,United States,AW00028076,7.0
SO43963,2011-02-07,3578.0,1.0,3578.0,,Australia,AW00016685,7.0
SO43964,2011-02-07,3578.0,1.0,3578.0,,Australia,AW00016745,7.0
SO43965,2011-02-07,3375.0,1.0,3375.0,,Australia,AW00011038,7.0
SO43966,2011-02-07,3400.0,1.0,3400.0,,Australia,AW00011039,7.0
SO43967,2011-02-08,3578.0,1.0,3578.0,,United States,AW00028040,7.0
SO43968,2011-02-08,3578.0,1.0,3578.0,,United States,AW00028067,7.0
SO43969,2011-02-08,3578.0,1.0,3578.0,,United States,AW00028071,7.0
SO43970,2011-02-08,3578.0,1.0,3578.0,,Australia,AW00016684,7.0
SO43971,2011-02-08,3578.0,1.0,3578.0,,Australia,AW00016657,7.0
SO43972,2011-02-09,3578.0,1.0,3578.0,,Canada,AW00021939,7.0
SO43973,2011-02-09,3578.0,1.0,3578.0,,United States,AW00028039,7.0
SO43974,2011-02-09,3578.0,1.0,3578.0,,,,7.0
SO43975,2011-02-09,3578.0,1.0,3578.0,,,,7.0
SO43976,2011-02-09,3578.0,1.0,3578.0,,United States,AW00028063,7.0
SO43977,2011-02-09,3578.0,1.0,3578.0,,Australia,AW00016703,7.0
SO43978,2011-02-10,3578.0,1.0,3578.0,,United States,AW00028030,7.0
SO43979,2011-02-10,699.0,1.0,699.0,,,,7.0
SO43980,2011-02-10,3375.0,1.0,3375.0,,Australia,AW00011048,7.0
SO43981,2011-02-10,3578.0,1.0,3578.0,,Australia,AW00016664,7.0
SO43982,2011-02-10,699.0,1.0,699.0,,Australia,AW00025271,7.0
SO43983,2011-02-11,3578.0,1.0,3578.0,,United States,AW00028017,7.0
SO43984,2011-02-11,3578.0,1.0,3578.0,,,,7.0
SO43985,2011-02-11,3578.0,1.0,3578.0,,,,7.0
SO43986,2011-02-11,3578.0,1.0,3578.0,,United States,AW00028070,7.0
SO43987,2011-02-12,3578.0,1.0,3578.0,,United States,AW00028042,7.0
SO43988,2011-02-12,3400.0,1.0,3400.0,,,,7.0
SO43989,2011-02-12,3578.0,1.0,3578.0,,United States,AW00028083,7.0
SO43990,2011-02-12,3400.0,1.0,3400.0,,United States,AW00025872,7.0
SO43991,2011-02-12,3578.0,1.0,3578.0,,Australia,AW00016660,7.0
SO43992,2011-02-12,3578.0,1.0,3578.0,,Australia,AW00016638,7.0
SO43993,2011-02-14,3578.0,1.0,3578.0,,Australia,AW00016929,7.0
SO43994,2011-02-15,3578.0,1.0,3578.0,,United States,AW00027681,7.0
SO43995,2011-02-15,3578.0,1.0,3578.0,,Canada,AW00021813,7.0
SO43996,2011-02-15,3578.0,1.0,3578.0,,United States,AW00027920,7.0
SO43997,2011-02-15,3578.0,1.0,3578.0,,United States,AW00028022,7.0
SO43998,2011-02-15,3375.0,1.0,3375.0,,Australia,AW00011033,7.0
SO43999,2011-02-15,3578.0,1.0,3578.0,,United States,AW00028047,7.0
SO44000,2011-02-16,3578.0,1.0,3578.0,,United States,AW00027918,7.0
SO44001,2011-02-16,3578.0,1.0,3578.0,,United States,AW00028044,7.0
SO44002,2011-02-16,699.0,1.0,699.0,,,,7.0
SO44003,2011-02-16,699.0,1.0,699.0,,Germany,AW00019325,7.0
SO44004,2011-02-16,3578.0,1.0,3578.0,,United States,AW00028061,7.0
SO44005,2011-02-16,699.0,1.0,699.0,,Canada,AW00026629,7.0
SO44006,2011-02-16,3578.0,1.0,3578.0,,Australia,AW00016744,7.0
SO44007,2011-02-16,699.0,1.0,699.0,,Australia,AW00025555,7.0
SO44008,2011-02-17,3578.0,1.0,3578.0,,United States,AW00027678,7.0
SO44009,2011-02-17,3578.0,1.0,3578.0,,United States,AW00027759,7.0
SO44010,2011-02-17,3578.0,1.0,3578.0,,,,7.0
SO44011,2011-02-17,3578.0,1.0,3578.0,,,,7.0
SO44012,2011-02-17,3375.0,1.0,3375.0,,Australia,AW00011052,7.0
SO44013,2011-02-17,3578.0,1.0,3578.0,,Australia,AW00016928,7.0
SO44014,2011-02-18,3578.0,1.0,3578.0,,United States,AW00027917,7.0
SO44015,2011-02-18,3578.0,1.0,3578.0,,,,7.0
SO44016,2011-02-18,3375.0,1.0,3375.0,,,,7.0
SO44017,2011-02-18,3578.0,1.0,3578.0,,United States,AW00028078,7.0
SO44018,2011-02-18,3375.0,1.0,3375.0,,United States,AW00025876,7.0
SO44019,2011-02-18,3578.0,1.0,3578.0,,Australia,AW00016701,7.0
SO44020,2011-02-18,3578.0,1.0,3578.0,,Australia,AW00016931,7.0
SO44021,2011-02-18,3375.0,1.0,3375.0,,Australia,AW00011032,7.0
SO44022,2011-02-19,3578.0,1.0,3578.0,,Canada,AW00022008,7.0
SO44023,2011-02-19,3375.0,1.0,3375.0,,Canada,AW00019830,7.0
SO44024,2011-02-19,3578.0,1.0,3578.0,,Australia,AW00016663,7.0
SO44025,2011-02-19,3578.0,1.0,3578.0,,Australia,AW00016708,7.0
SO44026,2011-02-19,3578.0,1.0,3578.0,,Australia,AW00017045,7.0
SO44027,2011-02-20,3578.0,1.0,3578.0,,Canada,AW00021921,7.0
SO44028,2011-02-20,3578.0,1.0,3578.0,,Australia,AW00017048,7.0
SO44029,2011-02-20,3375.0,1.0,3375.0,,Australia,AW00011050,7.0
SO44030,2011-02-21,3578.0,1.0,3578.0,,,,7.0
SO44031,2011-02-21,3578.0,1.0,3578.0,,,,7.0
SO44032,2011-02-21,3400.0,1.0,3400.0,,,,7.0
SO44033,2011-02-21,3578.0,1.0,3578.0,,Australia,AW00016693,7.0
SO44034,2011-02-21,3578.0,1.0,3578.0,,Australia,AW00016702,7.0
SO44035,2011-02-21,3578.0,1.0,3578.0,,Australia,AW00016707,7.0
SO44036,2011-02-21,3578.0,1.0,3578.0,,Australia,AW00017046,7.0
SO44037,2011-02-21,699.0,1.0,699.0,,Australia,AW00025272,7.0
SO44038,2011-02-21,3400.0,1.0,3400.0,,United States,AW00025868,7.0
SO44039,2011-02-22,699.0,1.0,699.0,,France,AW00017971,7.0
SO44040,2011-02-22,3375.0,1.0,3375.0,,Australia,AW00011057,7.0
SO44041,2011-02-22,3578.0,1.0,3578.0,,Australia,AW00016742,7.0
SO44042,2011-02-23,3578.0,1.0,3578.0,,,,7.0
SO44043,2011-02-23,3578.0,1.0,3578.0,,,,7.0
SO44044,2011-02-23,3578.0,1.0,3578.0,,,,7.0
SO44045,2011-02-23,3400.0,1.0,3400.0,,,,7.0
SO44046,2011-02-23,3578.0,1.0,3578.0,,United States,AW00028064,7.0
SO44047,2011-02-23,3400.0,1.0,3400.0,,United States,AW00025878,7.0
SO44048,2011-02-23,3578.0,1.0,3578.0,,Australia,AW00016713,7.0
SO44049,2011-02-24,3578.0,1.0,3578.0,,,,7.0
SO44050,2011-02-24,3578.0,1.0,3578.0,,Australia,AW00017050,7.0
SO44051,2011-02-25,3578.0,1.0,3578.0,,,,7.0
SO44052,2011-02-25,3578.0,1.0,3578.0,,Australia,AW00016637,7.0
SO44053,2011-02-26,699.0,1.0,699.0,,Germany,AW00019329,7.0
SO44054,2011-02-26,3578.0,1.0,3578.0,,,,7.0
SO44055,2011-02-26,3578.0,1.0,3578.0,,,,7.0
SO44056,2011-02-26,3578.0,1.0,3578.0,,,,7.0
SO44057,2011-02-26,699.0,1.0,699.0,,,,7.0
SO44058,2011-02-26,3375.0,1.0,3375.0,,Australia,AW00011056,7.0
SO44059,2011-02-26,3578.0,1.0,3578.0,,Australia,AW00016688,7.0
SO44060,2011-02-26,699.0,1.0,699.0,,Australia,AW00025273,7.0
SO44061,2011-02-27,3578.0,1.0,3578.0,,United States,AW00027919,7.0
SO44062,2011-02-27,3578.0,1.0,3578.0,,United States,AW00028041,7.0
SO44063,2011-02-27,3400.0,1.0,3400.0,,,,7.0
SO44064,2011-02-27,3578.0,1.0,3578.0,,Canada,AW00022050,7.0
SO44065,2011-02-27,3578.0,1.0,3578.0,,United States,AW00028062,7.0
SO44066,2011-02-27,3400.0,1.0,3400.0,,United States,AW00025867,7.0
SO44067,2011-02-27,3578.0,1.0,3578.0,,Australia,AW00017049,7.0
SO44068,2011-02-28,3578.0,1.0,3578.0,,,,7.0
SO44069,2011-02-28,3375.0,1.0,3375.0,,,,7.0
SO44070,2011-02-28,3375.0,1.0,3375.0,,Canada,AW00019829,7.0
SO44071,2011-02-28,3578.0,1.0,3578.0,,Australia,AW00016691,7.0
SO44072,2011-02-28,3578.0,1.0,3578.0,,Australia,AW00016656,7.0
SO44073,2011-02-28,3375.0,1.0,3375.0,,Australia,AW00011044,7.0
SO44134,2011-03-01,3578.0,1.0,3578.0,,,,7.0
SO44135,2011-03-01,3578.0,1.0,3578.0,,United States,AW00028156,7.0
SO44136,2011-03-01,3578.0,1.0,3578.0,,Canada,AW00022114,7.0
SO44137,2011-03-01,3578.0,1.0,3578.0,,Australia,AW00017328,7.0
SO44138,2011-03-02,3578.0,1.0,3578.0,,,,7.0
SO44139,2011-03-02,3578.0,1.0,3578.0,,,,7.0
SO44140,2011-03-02,3578.0,1.0,3578.0,,,,7.0
SO44141,2011-03-02,3578.0,1.0,3578.0,,,,7.0
SO44142,2011-03-02,3578.0,1.0,3578.0,,Canada,AW00022058,7.0
SO44143,2011-03-02,3578.0,1.0,3578.0,,United States,AW00028145,7.0
SO44144,2011-03-02,3578.0,1.0,3578.0,,Australia,AW00017071,7.0
SO44145,2011-03-02,3578.0,1.0,3578.0,,Australia,AW00017309,7.0
SO44146,2011-03-02,3578.0,1.0,3578.0,,Australia,AW00017310,7.0
SO44147,2011-03-02,3578.0,1.0,3578.0,,Australia,AW00017320,7.0
SO44148,2011-03-03,3578.0,1.0,3578.0,,United States,AW00028172,7.0
SO44149,2011-03-03,3578.0,1.0,3578.0,,Australia,AW00017242,7.0
SO44150,2011-03-03,3578.0,1.0,3578.0,,Australia,AW00017315,7.0
SO44151,2011-03-03,699.0,1.0,699.0,,Australia,AW00025558,7.0
SO44152,2011-03-04,3400.0,1.0,3400.0,,,,7.0
SO44153,2011-03-04,3578.0,1.0,3578.0,,United States,AW00028168,7.0
SO44154,2011-03-04,3578.0,1.0,3578.0,,United States,AW00028181,7.0
SO44155,2011-03-04,3578.0,1.0,3578.0,,United States,AW00028131,7.0
SO44156,2011-03-04,3400.0,1.0,3400.0,,United States,AW00025887,7.0
SO44157,2011-03-04,3578.0,1.0,3578.0,,Australia,AW00017055,7.0
SO44158,2011-03-05,3578.0,1.0,3578.0,,,,7.0
SO44159,2011-03-05,3578.0,1.0,3578.0,,United States,AW00028182,7.0
SO44160,2011-03-05,3578.0,1.0,3578.0,,United States,AW00028186,7.0
SO44161,2011-03-06,3578.0,1.0,3578.0,,,,7.0
SO44162,2011-03-06,3578.0,1.0,3578.0,,United States,AW00028185,7.0
SO44163,2011-03-06,3578.0,1.0,3578.0,,United States,AW00028193,7.0
SO44164,2011-03-06,3578.0,1.0,3578.0,,United States,AW00028088,7.0
SO44165,2011-03-06,3578.0,1.0,3578.0,,Australia,AW00017065,7.0
SO44166,2011-03-06,699.0,1.0,699.0,,,,7.0
SO44167,2011-03-06,3578.0,1.0,3578.0,,Australia,AW00017308,7.0
SO44168,2011-03-07,3578.0,1.0,3578.0,,,,7.0
SO44169,2011-03-07,3578.0,1.0,3578.0,,United States,AW00028179,7.0
SO44170,2011-03-07,3578.0,1.0,3578.0,,United States,AW00028183,7.0
SO44171,2011-03-07,3578.0,1.0,3578.0,,United States,AW00028112,7.0
SO44172,2011-03-07,699.0,1.0,699.0,,,,7.0
SO44173,2011-03-08,3578.0,1.0,3578.0,,,,7.0
SO44174,2011-03-08,3578.0,1.0,3578.0,,Australia,AW00017229,7.0
SO44175,2011-03-08,3578.0,1.0,3578.0,,Australia,AW00017246,7.0
SO44176,2011-03-09,3578.0,1.0,3578.0,,,,7.0
SO44177,2011-03-09,3375.0,1.0,3375.0,,,,7.0
SO44178,2011-03-09,3578.0,1.0,3578.0,,United States,AW00028097,7.0
SO44179,2011-03-09,3375.0,1.0,3375.0,,United States,AW00025888,7.0
SO44180,2011-03-09,3400.0,1.0,3400.0,,Australia,AW00011058,7.0
SO44181,2011-03-09,3578.0,1.0,3578.0,,Australia,AW00017294,7.0
SO44182,2011-03-09,3578.0,1.0,3578.0,,Australia,AW00017299,7.0
SO44183,2011-03-10,3578.0,1.0,3578.0,,United States,AW00028158,7.0
SO44184,2011-03-10,3578.0,1.0,3578.0,,Australia,AW00017247,7.0
SO44185,2011-03-10,3578.0,1.0,3578.0,,Australia,AW00017280,7.0
SO44186,2011-03-12,3400.0,1.0,3400.0,,United States,AW00025889,7.0
SO44187,2011-03-12,3578.0,1.0,3578.0,,Australia,AW00017069,7.0
SO44188,2011-03-13,699.0,1.0,699.0,,United Kingdom,AW00020052,7.0
SO44189,2011-03-13,699.0,1.0,699.0,,United Kingdom,AW00020054,7.0
SO44190,2011-03-13,3375.0,1.0,3375.0,,Australia,AW00011061,7.0
SO44191,2011-03-13,3578.0,1.0,3578.0,,Australia,AW00017248,7.0
